Model,Modal,MSE,MAE
GPINet,Uni,0.7676125764846802,0.5821837782859802
GPINet,Multi,0.8162440061569214,0.6184003353118896
tPatchGNN,Uni,0.7568777799606323,0.570701003074646
tPatchGNN,Multi,0.8682085871696472,0.6436194181442261
DLinear,Uni,0.7906010150909424,0.5929598212242126
DLinear,Multi,0.8401869535446167,0.6483859419822693
PatchTST,Uni,1.028739094734192,0.730330765247345
PatchTST,Multi,1.4652478694915771,0.8399844765663147
Informer,Uni,0.8853021264076233,0.5686423182487488
Informer,Multi,0.8808279037475586,0.6482219696044922
TimesNet,Uni,1.0296505689620972,0.728783369064331
TimesNet,Multi,0.9466890692710876,0.6937257051467896
TimeMixer,Uni,0.9180233478546143,0.5801545977592468
TimeMixer,Multi,1.183828353881836,0.6871298551559448
TimeLLM,Uni,0.8010570406913757,0.5480777621269226
TimeLLM,Multi,0.8665403723716736,0.6392142176628113
TTM,Uni,0.9678124785423279,0.6940600275993347
TTM,Multi,0.9326942563056946,0.6856208443641663
CRU,Uni,1.058386206626892,0.7364177703857422
CRU,Multi,1.0718193054199219,0.753383457660675
